"Text Editing","Join Lines","Ctrl+Alt+J","%context.editingText.name"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Uncategorized","Insert right guillemet",">","Editing Xtend Source"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Window","Next Editor","Ctrl+Tab","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Edit","Find Next","Ctrl+K","%context.editingText.name"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"File","Refresh","F6","In Windows"
"File","Print","Ctrl+P","In Windows"
"Edit","Delete","Delete","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","%context.editingText.name"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","%context.editingText.name"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","%context.editingText.name"
"Text Editing","Copy Lines","Ctrl+Alt+Down","%context.editingText.name"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Uncategorized","Insert right guillemet","Ctrl+>","Editing Xtend Source"
"Uncategorized","Organize Imports","Ctrl+Shift+O","Editing Xtend Source"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Uncategorized","Quick Hierarchy","Ctrl+T","Editing Xtext Source"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Text Editing","Move Lines Down","Alt+Down","%context.editingText.name"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Text Editing","Line End","End","%context.editingText.name"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Navigate","Go to Line","Ctrl+L","%context.editingText.name"
"Run/Debug","Debug Java Application","Alt+D, J","Editing Xtend Source"
"Text Editing","To Upper Case","Ctrl+Shift+X","%context.editingText.name"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","Editing Xtend Source"
"File","Rename","F2","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Uncategorized","Quick Outline","Ctrl+O","Editing Xtext Source"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Uncategorized","Insert left guillemet","<","Editing Xtend Source"
"Source","Restore Last Selection","Alt+Shift+Down","Editing Xtext Source"
"Text Editing","Select Line End","Shift+End","%context.editingText.name"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Text Editing","Text End","Ctrl+End","%context.editingText.name"
"Window","Quick Access","Ctrl+3","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Edit","Find and Replace","Ctrl+F","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","%context.editingText.name"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Uncategorized","Rename Element","Alt+Shift+R","Editing Xtext Source"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","%context.editingText.name"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Text Editing","Delete Line","Ctrl+D","%context.editingText.name"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Source","Select Next Element","Alt+Shift+Right","Editing Xtext Source"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","%context.editingText.name"
"Source","Go to Matching Bracket","Ctrl+Shift+P","Editing Xtext Source"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Uncategorized","Insert left guillemet","Ctrl+<","Editing Xtend Source"
"Uncategorized","Open Type in Hierarchy","F4","Editing Xtext Source"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Text Editing","Toggle Overwrite","Insert","%context.editingText.name"
"Run/Debug","Step Over","F10","Debugging"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","%context.editingText.name"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Text Editing","Line Start","Home","%context.editingText.name"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Window","Activate Editor","F12","In Windows"
"Text Editing","Previous Word","Ctrl+Left","%context.editingText.name"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Text Editing","Show Tooltip Description","F2","%context.editingText.name"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"File","New","Ctrl+N","In Windows"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","%context.editingText.name"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Uncategorized","Find References","Ctrl+Shift+G","Editing Xtext Source"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","%context.editingText.name"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","Editing Xtend Source"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Xtext Source"
"File","Close","Ctrl+W","In Windows"
"Run/Debug","Run","F7","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"File","New menu","Alt+Shift+N","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","%context.editingText.name"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Run Java Application","Alt+Shift+X, J","Editing Xtend Source"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Xtext Source"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Xtext Source"
"Edit","Word Completion","Alt+/","%context.editingText.name"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Window","Open Model Element","Ctrl+Shift+F3","In Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Run/Debug","Step Into","F11","Debugging"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","%context.editingText.name"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Navigate","Next Page","Alt+F7","In Windows"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Source","Select Previous Element","Alt+Shift+Left","Editing Xtext Source"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","Editing Xtend Source"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Text Editing","Select Next Word","Ctrl+Shift+Right","%context.editingText.name"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Text Editing","To Lower Case","Ctrl+Shift+Y","%context.editingText.name"
"Text Editing","Insert Line Below Current Line","Shift+Enter","%context.editingText.name"
"Source","Select Enclosing Element","Alt+Shift+Up","Editing Xtext Source"
"File","Save All","Ctrl+Shift+S","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","Next Word","Ctrl+Right","%context.editingText.name"
